community,model,prompt_id,category,divergence
Miao/Hmong,GPT-5.1,C1,C,0.19842678308486938
Miao/Hmong,GPT-5.1,C2,C,0.3423076868057251
Miao/Hmong,GPT-5.1,D1,D,0.10163426399230957
Miao/Hmong,GPT-5.1,D2,D,0.37126874923706055
Miao/Hmong,GPT-5.1,D3,D,0.2293388843536377
Wa,DeepSeek-V3.2,A1,A,0.41919469833374023
Wa,DeepSeek-V3.2,A2,A,0.26448583602905273
Wa,DeepSeek-V3.2,A3,A,0.5174242854118347
Wa,DeepSeek-V3.2,B1,B,0.36001157760620117
Wa,DeepSeek-V3.2,B2,B,0.31909412145614624
Wa,DeepSeek-V3.2,B3,B,0.2950085401535034
Wa,DeepSeek-V3.2,C1,C,0.4256380796432495
Wa,DeepSeek-V3.2,C2,C,0.2633441686630249
Wa,DeepSeek-V3.2,D1,D,0.3081696033477783
Wa,DeepSeek-V3.2,D2,D,0.32707393169403076
Wa,DeepSeek-V3.2,D3,D,0.20904600620269775
Wa,GPT-5.1,A1,A,0.3729289770126343
Wa,GPT-5.1,A2,A,0.4402102828025818
Wa,GPT-5.1,A3,A,0.37518787384033203
Wa,GPT-5.1,B1,B,0.2105402946472168
Wa,GPT-5.1,B2,B,0.34566038846969604
Wa,GPT-5.1,B3,B,0.2737100124359131
Wa,GPT-5.1,C1,C,0.2480762004852295
Wa,GPT-5.1,C2,C,0.20867371559143066
Wa,GPT-5.1,D1,D,0.3394958972930908
Wa,GPT-5.1,D2,D,0.3117859959602356
Wa,GPT-5.1,D3,D,0.13096606731414795
